tenure_months,sessions_30d,support_tickets_30d,monthly_price,auto_renew,customer_id,as_of,outcome_available_at,extracted_at,cancellation_confirmed_after_30d,churn_next_30d
5,14.0,1,9.0,1,synthetic-00000,2021-01-01,2021-01-31,2024-04-29,1,1
38,19.0,0,19.0,1,synthetic-00001,2021-01-02,2021-02-01,2024-04-29,0,0
32,17.0,1,9.0,1,synthetic-00002,2021-01-03,2021-02-02,2024-04-29,0,0
22,15.0,0,9.0,1,synthetic-00003,2021-01-04,2021-02-03,2024-04-29,0,0
21,11.0,2,9.0,0,synthetic-00004,2021-01-05,2021-02-04,2024-04-29,0,0
42,17.0,0,29.0,0,synthetic-00005,2021-01-06,2021-02-05,2024-04-29,0,0
5,9.0,0,19.0,1,synthetic-00006,2021-01-07,2021-02-06,2024-04-29,0,0
34,17.0,2,29.0,1,synthetic-00007,2021-01-08,2021-02-07,2024-04-29,1,1
10,18.0,4,9.0,1,synthetic-00008,2021-01-09,2021-02-08,2024-04-29,0,0
5,15.0,3,19.0,1,synthetic-00009,2021-01-10,2021-02-09,2024-04-29,0,0
26,6.0,0,19.0,1,synthetic-00010,2021-01-11,2021-02-10,2024-04-29,0,0
47,16.0,2,19.0,1,synthetic-00011,2021-01-12,2021-02-11,2024-04-29,0,0
36,6.0,2,29.0,1,synthetic-00012,2021-01-13,2021-02-12,2024-04-29,1,1
37,15.0,3,29.0,0,synthetic-00013,2021-01-14,2021-02-13,2024-04-29,0,0
35,16.0,1,19.0,1,synthetic-00014,2021-01-15,2021-02-14,2024-04-29,0,0
38,13.0,0,29.0,1,synthetic-00015,2021-01-16,2021-02-15,2024-04-29,0,0
25,16.0,1,9.0,1,synthetic-00016,2021-01-17,2021-02-16,2024-04-29,0,0
7,19.0,0,9.0,1,synthetic-00017,2021-01-18,2021-02-17,2024-04-29,0,0
41,19.0,2,29.0,1,synthetic-00018,2021-01-19,2021-02-18,2024-04-29,0,0
22,15.0,2,9.0,1,synthetic-00019,2021-01-20,2021-02-19,2024-04-29,0,0
25,10.0,0,9.0,1,synthetic-00020,2021-01-21,2021-02-20,2024-04-29,1,1
18,12.0,0,9.0,0,synthetic-00021,2021-01-22,2021-02-21,2024-04-29,0,0
9,11.0,1,9.0,0,synthetic-00022,2021-01-23,2021-02-22,2024-04-29,1,1
45,9.0,0,19.0,0,synthetic-00023,2021-01-24,2021-02-23,2024-04-29,0,0
38,15.0,0,9.0,0,synthetic-00024,2021-01-25,2021-02-24,2024-04-29,0,0
31,20.0,4,19.0,1,synthetic-00025,2021-01-26,2021-02-25,2024-04-29,1,1
20,9.0,0,29.0,1,synthetic-00026,2021-01-27,2021-02-26,2024-04-29,1,1
40,7.0,1,9.0,1,synthetic-00027,2021-01-28,2021-02-27,2024-04-29,0,0
27,15.0,1,29.0,0,synthetic-00028,2021-01-29,2021-02-28,2024-04-29,1,1
22,17.0,1,19.0,0,synthetic-00029,2021-01-30,2021-03-01,2024-04-29,0,0
22,11.0,4,19.0,1,synthetic-00030,2021-01-31,2021-03-02,2024-04-29,1,1
11,20.0,0,19.0,1,synthetic-00031,2021-02-01,2021-03-03,2024-04-29,0,0
5,17.0,2,9.0,1,synthetic-00032,2021-02-02,2021-03-04,2024-04-29,0,0
27,16.0,2,9.0,1,synthetic-00033,2021-02-03,2021-03-05,2024-04-29,0,0
43,11.0,2,19.0,0,synthetic-00034,2021-02-04,2021-03-06,2024-04-29,0,0
4,11.0,1,29.0,1,synthetic-00035,2021-02-05,2021-03-07,2024-04-29,0,0
42,17.0,2,19.0,1,synthetic-00036,2021-02-06,2021-03-08,2024-04-29,0,0
40,13.0,1,19.0,1,synthetic-00037,2021-02-07,2021-03-09,2024-04-29,0,0
14,17.0,3,19.0,1,synthetic-00038,2021-02-08,2021-03-10,2024-04-29,0,0
31,,3,19.0,1,synthetic-00039,2021-02-09,2021-03-11,2024-04-29,0,0
8,14.0,0,9.0,0,synthetic-00040,2021-02-10,2021-03-12,2024-04-29,0,0
37,8.0,1,19.0,1,synthetic-00041,2021-02-11,2021-03-13,2024-04-29,0,0
34,11.0,1,29.0,1,synthetic-00042,2021-02-12,2021-03-14,2024-04-29,0,0
18,13.0,1,9.0,1,synthetic-00043,2021-02-13,2021-03-15,2024-04-29,0,0
4,12.0,0,29.0,1,synthetic-00044,2021-02-14,2021-03-16,2024-04-29,0,0
47,8.0,2,29.0,1,synthetic-00045,2021-02-15,2021-03-17,2024-04-29,0,0
22,10.0,0,9.0,1,synthetic-00046,2021-02-16,2021-03-18,2024-04-29,0,0
43,13.0,1,19.0,1,synthetic-00047,2021-02-17,2021-03-19,2024-04-29,1,1
33,19.0,1,29.0,1,synthetic-00048,2021-02-18,2021-03-20,2024-04-29,0,0
38,14.0,2,19.0,0,synthetic-00049,2021-02-19,2021-03-21,2024-04-29,1,1
37,12.0,0,29.0,0,synthetic-00050,2021-02-20,2021-03-22,2024-04-29,1,1
10,11.0,2,29.0,0,synthetic-00051,2021-02-21,2021-03-23,2024-04-29,1,1
18,11.0,0,19.0,1,synthetic-00052,2021-02-22,2021-03-24,2024-04-29,0,0
23,16.0,0,29.0,0,synthetic-00053,2021-02-23,2021-03-25,2024-04-29,0,0
24,12.0,0,29.0,0,synthetic-00054,2021-02-24,2021-03-26,2024-04-29,0,0
3,16.0,2,29.0,1,synthetic-00055,2021-02-25,2021-03-27,2024-04-29,0,0
27,5.0,1,29.0,1,synthetic-00056,2021-02-26,2021-03-28,2024-04-29,1,1
8,20.0,3,9.0,1,synthetic-00057,2021-02-27,2021-03-29,2024-04-29,0,0
36,10.0,2,9.0,0,synthetic-00058,2021-02-28,2021-03-30,2024-04-29,0,0
33,8.0,3,9.0,1,synthetic-00059,2021-03-01,2021-03-31,2024-04-29,0,0
45,11.0,0,9.0,1,synthetic-00060,2021-03-02,2021-04-01,2024-04-29,0,0
36,15.0,2,29.0,0,synthetic-00061,2021-03-03,2021-04-02,2024-04-29,0,0
18,15.0,2,19.0,1,synthetic-00062,2021-03-04,2021-04-03,2024-04-29,1,1
47,13.0,1,19.0,0,synthetic-00063,2021-03-05,2021-04-04,2024-04-29,0,0
20,,0,9.0,0,synthetic-00064,2021-03-06,2021-04-05,2024-04-29,0,0
16,17.0,0,29.0,0,synthetic-00065,2021-03-07,2021-04-06,2024-04-29,0,0
44,10.0,3,19.0,0,synthetic-00066,2021-03-08,2021-04-07,2024-04-29,0,0
